麓景嘉园北里 2室1厅 东 西,麓景嘉园北里,海淀其它,2室1厅 ,84.71, 东 西 , 精装 ,6, 2015年 , 板楼,32, 4个月以前发布,3000000.0,"35,415元/平",VR看装修 房本满五年 随时看房 
五福玲珑居南区 特殊户型 全明格局一居室,五福玲珑居南区,四季青,1室1厅 ,52.1, 东 南 , 简装 ,16, 2016年 , 板楼,45, 3个月以前发布,4100000.0,"78,695元/平",VR房源 
玉海园二里 2室1厅 西南,玉海园二里,玉泉路,2室1厅 ,86.5, 西南 , 简装 ,11, 2001年 , 板塔结合,63, 4个月以前发布,5990000.0,"69,249元/平",VR看装修 房本满五年 随时看房 
同泽园西里 1室1厅 南 西 北,同泽园西里,海淀其它,1室1厅 ,56.09, 南 西 北 , 精装 ,6, 2012年 , 板楼,8, 4个月以前发布,2350000.0,"41,897元/平",VR房源 房本满五年 随时看房 
牡丹园商圈塔院小区南北向三居，田字格方正户型,塔院小区,牡丹园,3室1厅 ,80.0, 南 北 , 简装 ,14, 1989年 , 板塔结合,72, 4个月以前发布,7450000.0,"93,125元/平",近地铁 VR看装修 随时看房 
小南庄社区 单独管理 南北通透 不临街 楼层低,小南庄社区,苏州桥,2室1厅 ,63.51, 南 北 , 简装 ,6, 2000年 , 板楼,14, 7个月以前发布,6100000.0,"96,048元/平",近地铁 VR房源 房本满五年 
北蜂窝路5号院  全明格局 精装三居 一梯两户 南北通透,北蜂窝路5号院,军博,3室1厅 ,108.82, 南 东 北 , 精装 ,16, 2010年 , 板塔结合,72, 4个月以前发布,15200000.0,"139,681元/平",VR看装修 随时看房 
6/9/16三轨交汇海总不到800米户型方正满五年,甘家口小区,甘家口,1室1厅 ,52.6, 西 , 简装 ,9, 1996年 , 板塔结合,21, 5个月以前发布,3990000.0,"75,856元/平",近地铁 VR看装修 随时看房 
都景苑 牡丹园北里 店长推荐 户型好,都景苑,牡丹园,2室1厅 ,63.21, 南 , 简装 ,23, 2015年 , 塔楼,127, 9个月以前发布,5000000.0,"79,102元/平",近地铁 VR看装修 随时看房 
地铁10号线西钓鱼台旁  南北通透双卫两居 窗外公园,恩济花园,定慧寺,2室1厅 ,119.7, 南 北 , 简装 ,6, 1992年 , 板楼,57, 4个月以前发布,8550000.0,"71,429元/平",近地铁 VR看装修 随时看房 
南向两居室，采光好，看房方便，业主诚心出售,世华龙樾一期西区,清河,2室1厅 ,76.08, 南 西 , 毛坯 ,11, 2018年 , 板楼,317, 6个月以前发布,6300000.0,"82,808元/平",近地铁 VR看装修 随时看房 
林大北路10号院，进出方便，南北通透，交通生活方便,林大北路10号院,学院路,2室2厅 ,87.6, 南 北 , 简装 ,6, 1997年 , 板楼,10, 4个月以前发布,7900000.0,"90,183元/平",近地铁 VR看装修 随时看房 
牡丹园北影小区满五年公房有地铁医院公园双阳台,北影小区,北太平庄,2室1厅 ,85.88, 西南 , 简装 ,14, 2002年 , 板塔结合,44, 4个月以前发布,7800000.0,"90,825元/平",近地铁 VR看装修 随时看房 
华清嘉园不临街两居 采光好 有钥匙 拎包入住有车位！,华清嘉园,五道口,2室1厅 ,74.35, 东南 , 精装 ,18, 2002年 , 塔楼,17, 4个月以前发布,8600000.0,"115,670元/平",近地铁 VR房源 随时看房 
阳光北里 正规三居室 楼层好 视野好,阳光北里,安宁庄,3室1厅 ,85.5, 西南 , 精装 ,18, 1996年 , 塔楼,81, 7个月以前发布,6500000.0,"76,024元/平",VR看装修 房本满两年 
北太平路16号院，国家测绘院，24小时保安，可停车,北太平路16号院,五棵松,1室1厅 ,42.5, 南 , 简装 ,6, 1986年 , 板楼,9, 5个月以前发布,4990000.0,"117,412元/平",近地铁 VR看装修 随时看房 
满五唯一，正规的一室一厅，厨卫面积大，精装修有钥匙,北三环中路43号院,马甸,1室1厅 ,45.6, 东 , 精装 ,16, 1995年 , 板塔结合,16, 5个月以前发布,3860000.0,"84,650元/平",近地铁 VR房源 随时看房 
强佑府学上院全南向一居室户型，采光好，视野无遮挡,强佑清河新城府学上院,清河,1室1厅 ,38.75, 南 , 精装 ,14, 2021年 , 板塔结合,118, 6个月以前发布,3190000.0,"82,323元/平",近地铁 VR看装修 随时看房 
视野宽阔 交通便利 配套起源 全南格局,天合家园,田村,2室1厅 ,70.45, 南 西 , 精装 ,14, 2021年 , 板楼,90, 4个月以前发布,5060000.0,"71,824元/平",近地铁 VR看装修 随时看房 
金隅瑞和园特殊户型，十年出一套。,金隅瑞和园,玉泉路,2室1厅 ,76.25, 南 西 , 精装 ,16, 2014年 , 板楼,212, 3个月以前发布,4990000.0,"65,443元/平",VR看装修 随时看房 
五福玲珑居南区海淀四环内三条地铁次新房,五福玲珑居南区,四季青,2室1厅 ,73.73, 南 北 , 简装 ,15, 2016年 , 板楼,28, 6个月以前发布,5690000.0,"77,174元/平",VR看装修 随时看房 
西木小区低层、低Z价两居室，G房，无户口,西木小区,田村,2室1厅 ,51.4, 南 北 , 精装 ,7, 1991年 , 板楼,17, 7个月以前发布,4200000.0,"81,713元/平",VR看装修 
粮食局农场局宿舍楼 南北通透 满五唯一 中间楼层,红联村,小西天,2室1厅 ,57.23, 南 北 , 精装 ,6, 2000年 , 板楼,48, 3个月以前发布,4660000.0,"81,426元/平",VR看装修 
新康园全南向二居，采光好，视野好，业主变现诚售,新康园,西三旗,2室1厅 ,91.19, 南 , 简装 ,24, 2004年 , 塔楼,8,15,5180000.0,"56,805元/平",VR看装修 
五道口展春园中间层三居室随时签约,展春园,五道口,3室1厅 ,66.7, 南 北 , 简装 ,6, 1993年 , 板楼,75, 1个月以前发布,5500000.0,"82,459元/平",近地铁 VR房源 房本满五年 随时看房 
车道沟南里 1993年楼龄 好户型,车道沟南里,紫竹桥,2室2厅 ,75.0, 南 , 精装 ,17, 1993年 , 塔楼,11,16,6900000.0,"92,000元/平",近地铁 VR看装修 房本满五年 
满五年，原购价高，精装修，客厅落地飘窗，中高楼层,冠城大通百旺府,海淀北部新区,3室2厅 ,132.55, 东 南 北 , 精装 ,9, 2015年 , 板楼,55, 2个月以前发布,11400000.0,"86,006元/平",VR房源 房本满五年 随时看房 
西山华府禧园  官邸四居  一梯一户  诚意出售,西山华府禧园,马连洼,4室2厅 ,280.43, 南 北 , 精装 ,7, 2008年 , 板楼,12, 1个月以前发布,26200000.0,"93,428元/平",近地铁 VR看装修 房本满五年 
联慧路101号院精装修，带大客厅，采光视野很好,西晴公寓,小西天,2室1厅 ,102.7, 南 , 精装 ,21, 1998年 , 板塔结合,6,7,9800000.0,"95,424元/平",近地铁 VR看装修 房本满五年 随时看房 
文慧园北路带电梯精装两居室  中间楼层有客厅,文慧园北路乙26号,小西天,2室1厅 ,58.3, 东南 南 , 精装 ,13, 1985年 , 塔楼,3,7,5500000.0,"94,340元/平",VR看装修 随时看房 
华清嘉园不临街2居 采光视野好 有独立车位,华清嘉园,五道口,2室2厅 ,107.6, 西 , 精装 ,19, 2001年 , 塔楼,13,21,12700000.0,"118,030元/平",近地铁 VR看装修 房本满五年 
翠微 普惠北里 中间楼层 满五年 随时签约,普惠北里,公主坟,1室1厅 ,46.7, 南 , 精装 ,7, 1991年 , 板楼,6,15,4990000.0,"106,853元/平",VR看装修 
玉海园一里 复式三居室 满五年唯一 西边户 不临街,玉海园一里,玉泉路,4室2厅 ,124.5, 南 西 北 , 精装 ,6, 1998年 , 板楼,36, 2个月以前发布,7700000.0,"61,848元/平",近地铁 VR房源 房本满五年 
永泰园新上全南向一居室，中间楼层，靠谱出售,永泰园,清河,1室1厅 ,44.54, 南 , 简装 ,7, 1999年 , 板楼,17,16,3450000.0,"77,459元/平",近地铁 VR看装修 房本满五年 随时看房 
门头馨村北二区 2室1厅 南 北,门头馨村北二区,西山,2室1厅 ,90.38, 南 北 , 精装 ,4, 2008年 , 板楼,25, 1个月以前发布,4790000.0,"52,999元/平",VR看装修 房本满五年 
兰德华庭 近地铁 楼龄新 满五唯一 南北通透 不临街,兰德华庭,田村,2室1厅 ,105.4, 南 北 , 精装 ,12, 2006年 , 板塔结合,10,19,8880000.0,"84,251元/平",近地铁 VR看装修 房本满五年 
东南小区  3居  南北通透  采光好 不临街,东南小区,中关村,3室1厅 ,82.1, 南 北 , 精装 ,6, 1983年 , 板楼,33, 2个月以前发布,9800000.0,"119,367元/平",VR看装修 房本满五年 随时看房 
万泉新新家园二期 复式房业主诚心卖,万泉新新家园,万柳,6室1厅 ,286.01, 南 北 , 精装 ,6, 2001年 , 板楼,1, 2个月以前发布,46000000.0,"160,834元/平",近地铁 VR房源 房本满五年 
冠城大通百旺府价格低满五年唯一，随时看房,冠城大通百旺府,海淀北部新区,2室1厅 ,77.76, 南 北 , 精装 ,11, 2009年 , 板楼,36, 1个月以前发布,5630000.0,"72,403元/平",VR房源 房本满五年 随时看房 
凯盛家园  商品房  中高楼层  视野好  南向,凯盛家园,海淀北部新区,1室1厅 ,59.89, 南 , 精装 ,15, 2013年 , 板塔结合,3,16,3350000.0,"55,936元/平",VR看装修 随时看房 
永泰园双地铁 半人车分流 有地下车库 商品房小区,永泰园新地标,清河,2室1厅 ,93.73, 西南 , 简装 ,31, 2002年 , 塔楼,45, 2个月以前发布,6050000.0,"64,548元/平",近地铁 VR看装修 房本满五年 随时看房 
建西苑北里本房格局方正中楼层落地窗采光棒有电梯,建西苑北里,杨庄,1室1厅 ,70.59, 东 , 精装 ,14, 2007年 , 板塔结合,7, 2个月以前发布,4530000.0,"64,174元/平",VR看装修 房本满五年 随时看房 
景和园 小户型两居 南北通透 看房提前约 诚意出售,景和园,西北旺,2室1厅 ,69.49, 南 北 , 简装 ,6, 2011年 , 板楼,9,18,5880000.0,"84,617元/平",近地铁 VR房源 房本满两年 随时看房 
北京邮电大学家属院 年代新 中间层 明厨明卫,北京邮电大学,小西天,2室1厅 ,69.01, 西北 , 精装 ,7, 2001年 , 板楼,11,19,5800000.0,"84,046元/平",VR看装修 房本满五年 
顶层+50平，精装修，拎包入住，南北通透，视野无遮挡,保利西山林语,海淀北部新区,3室2厅 ,96.24, 南 北 , 精装 ,8, 2010年 , 板楼,6,18,7370000.0,"76,580元/平",VR房源 房本满五年 随时看房 
颐丰庄园西区 精装修电梯2居室 诚意出售 看房方便！,颐丰庄园,海淀北部新区,2室2厅 ,107.11, 南 , 精装 ,6, 2016年 , 板楼,11, 1个月以前发布,7200000.0,"67,221元/平",VR看装修 随时看房 
领秀硅谷 满五唯一 眼睛房户型 视野好 采光足 诚心卖,领秀硅谷,西二旗,3室2厅 ,122.35, 南 北 , 精装 ,10, 2003年 , 板楼,26,19,10800000.0,"88,272元/平",VR看装修 房本满两年 
恩济里小区全南向精装两居室 满五年唯一,恩济里小区,定慧寺,2室1厅 ,55.55, 南 , 精装 ,14, 1995年 , 板塔结合,23, 2个月以前发布,5530000.0,"99,550元/平",近地铁 VR房源 房本满五年 
定慧寺 南北大客厅 格局方正 带地下室 不临街 采光好,定慧东里,定慧寺,2室1厅 ,58.8, 南 北 , 简装 ,6, 1987年 , 板楼,30, 1个月以前发布,4680000.0,"79,592元/平",VR看装修 房本满五年 随时看房 
海淀 馨瑞嘉园 南向大一居  满五唯一,上庄馨瑞嘉园,海淀北部新区,1室1厅 ,70.61, 南 , 精装 ,13, 2013年 , 板楼,40, 2个月以前发布,2850000.0,"40,363元/平",VR看装修 房本满五年 随时看房 
上地佳园 1室0厅 西,上地佳园,上地,1室0厅 ,62.66, 西 , 简装 ,11, 2005年 , 塔楼,0,2,6800000.0,"108,523元/平",近地铁 VR房源 房本满五年 
永金里 南北通透电梯三居 南侧百米楼距 北侧千米公园,永金里小区,五棵松,3室1厅 ,128.02, 南 西 北 , 简装 ,12, 1999年 , 板塔结合,42, 2个月以前发布,9500000.0,"74,208元/平",VR看装修 随时看房 
二里沟，三里河路5号院，南北向，两室一厅，格局方正,三里河路5号院,甘家口,2室1厅 ,51.97, 南 北 , 简装 ,6, 1980年 , 板楼,129, 2个月以前发布,5280000.0,"101,598元/平",近地铁 VR房源 房本满五年 随时看房 
南北三居光照好 前后不临街 有车位 人车分流电梯洋房,御墅临枫锦园一区,西山,3室2厅 ,156.38, 南 北 , 精装 ,6, 2006年 , 板楼,4,11,14380000.0,"91,956元/平",VR看装修 房本满五年 
公主坟普惠南里电梯中间楼层双南向 满五年唯一,普惠南里,公主坟,2室1厅 ,60.4, 南 , 简装 ,16, 1984年 , 塔楼,9,15,5600000.0,"92,716元/平",VR看装修 房本满五年 
永金里小区 南向 两居室 楼龄新 楼层好,永金里小区,五棵松,2室1厅 ,83.25, 南 西 , 简装 ,12, 2009年 , 塔楼,54, 1个月以前发布,6180000.0,"74,235元/平",VR房源 房本满五年 
双榆树西里  4号线人民大学 满五年唯一  采光好,双榆树西里,双榆树,1室1厅 ,44.2, 南 , 简装 ,16, 1980年 , 塔楼,9,15,4500000.0,"101,810元/平",近地铁 VR看装修 
北京市人民检察院宿舍，三虎桥北路,北京市人民检察院宿舍,紫竹桥,1室1厅 ,41.4, 南 , 简装 ,6, 1988年 , 板楼,32, 4个月以前发布,3680000.0,"88,889元/平",VR看装修 随时看房 
海淀田村40号院 南北通透两居室 出行购物方便 有车位,田村40号院,田村,2室1厅 ,49.8, 南 北 , 毛坯 ,5, 1976年 , 板楼,31, 2个月以前发布,3400000.0,"68,274元/平",近地铁 VR看装修 随时看房 
花园洋房，板楼精装婚房，新风软水，可拎包入住,恩济花园,定慧寺,2室1厅 ,100.54, 南 北 , 其他 ,6, 1993年 , 板楼,9,8,11500000.0,"114,383元/平",近地铁 VR看装修 房本满两年 
马连洼北路1号院 看房提前联系,马连洼北路1号院,上地,1室1厅 ,44.81, 南 北 , 精装 ,6, 1995年 , 板楼,6, 1个月以前发布,6580000.0,"146,843元/平",VR看装修 房本满两年 
岭南路26号院，南北向 中楼层，满五年  环境好,岭南路26号院,定慧寺,2室1厅 ,59.9, 南 北 , 简装 ,6, 1982年 , 板楼,7, 2个月以前发布,6990000.0,"116,695元/平",近地铁 VR看装修 随时看房 
橡树湾一期 东南两居 全明格局 婚房精装修,橡树湾一期,清河,2室1厅 ,88.81, 东南 , 精装 ,22, 2007年 , 板塔结合,17,8,10800000.0,"121,608元/平",近地铁 VR看装修 房本满两年 
中海枫涟山庄 南北三居 有钥匙 业主诚意出售 满五年,中海枫涟山庄,西北旺,3室1厅 ,121.96, 南 北 , 精装 ,11, 2004年 , 板楼,80, 2个月以前发布,10980000.0,"90,030元/平",近地铁 VR看装修 房本满五年 随时看房 
冶金大院 南北两居室，中间楼层，停车方便,冶金大院,小西天,2室1厅 ,52.0, 南 北 , 精装 ,6, 1981年 , 板楼,5,6,4780000.0,"91,924元/平",VR看装修 房本满五年 
海淀南路 有电梯 视野好 经典两居室 价格可以谈,海淀南路,苏州桥,2室1厅 ,55.3, 南 , 简装 ,12, 1985年 , 板楼,2,3,6360000.0,"115,010元/平",近地铁 VR看装修 随时看房 
精装修 南北两居 满五唯一 可看房 可签约,毛纺厂南小区,清河,2室1厅 ,55.3, 南 北 , 精装 ,6, 1986年 , 板楼,22,20,3400000.0,"61,483元/平",近地铁 VR房源 房本满五年 随时看房 
海外 凯文 锦秋 电梯洋房 三居室 精装 采光好有车位,四季香山,西山,3室2厅 ,142.11, 南 北 , 精装 ,5, 2005年 , 板楼,6,8,16080000.0,"113,152元/平",VR房源 房本满五年 随时看房 
西直门 金融街 交大嘉园 两室两卫,交大嘉园,西直门,2室1厅 ,108.19, 东南 , 精装 ,19, 2003年 , 塔楼,24, 2个月以前发布,11330000.0,"104,724元/平",VR房源 房本满五年 
万泉新新家园二期 复式房业主诚心卖,万泉新新家园,万柳,6室1厅 ,286.01, 南 北 , 精装 ,6, 2001年 , 板楼,1, 2个月以前发布,46000000.0,"160,834元/平",近地铁 VR房源 房本满五年 
古月园中间位置 电梯双入户 三卧朝南 眼镜户型,天秀花园古月园,马连洼,4室2厅 ,211.64, 南 北 , 简装 ,7, 2002年 , 板楼,40, 2个月以前发布,16980000.0,"80,231元/平",近地铁 VR房源 随时看房 
东南小区  3居  南北通透  采光好 不临街,东南小区,中关村,3室1厅 ,82.1, 南 北 , 精装 ,6, 1983年 , 板楼,33, 2个月以前发布,9800000.0,"119,367元/平",VR看装修 房本满五年 随时看房 
永泰园双地铁 半人车分流 有地下车库 商品房小区,永泰园新地标,清河,2室1厅 ,93.73, 西南 , 简装 ,31, 2002年 , 塔楼,45, 2个月以前发布,6050000.0,"64,548元/平",近地铁 VR看装修 房本满五年 随时看房 
满五公 房 南北通透格局，采光好，视野宽阔，采光充足,双榆树北里,双榆树,3室1厅 ,54.0, 南 北 , 精装 ,6, 1982年 , 板楼,2,6,5990000.0,"110,926元/平",近地铁 VR看装修 房本满五年 随时看房 
龙翔路小区正规两居室 满两年 急售,龙翔路小区,牡丹园,2室1厅 ,61.5, 南 北 , 精装 ,6, 1997年 , 板楼,32, 2个月以前发布,5350000.0,"86,992元/平",近地铁 VR看装修 房本满两年 随时看房 
宝盛里南北通透两居室，诚意出售,宝盛里,清河,2室1厅 ,69.27, 南 北 , 简装 ,6, 2001年 , 板楼,58, 1个月以前发布,4700000.0,"67,851元/平",VR房源 随时看房 
凯盛家园  商品房  中高楼层  视野好  南向,凯盛家园,海淀北部新区,1室1厅 ,59.89, 南 , 精装 ,15, 2013年 , 板塔结合,3,16,3350000.0,"55,936元/平",VR看装修 随时看房 
北洼西里东南向，精装修，诚意出售，随时看房签约,北洼西里,紫竹桥,1室1厅 ,54.12, 东南 , 精装 ,16, 1992年 , 板塔结合,28,18,4000000.0,"73,910元/平",VR房源 房本满五年 
海淀军博 新华社家属院 南北2居 中间层 户型方正,羊坊店路3号院,军博,2室1厅 ,59.33, 南 北 , 简装 ,5, 2000年 , 板楼,13,6,5500000.0,"92,702元/平",近地铁 VR房源 随时看房 
冠城大通百旺府价格低满五年唯一，随时看房,冠城大通百旺府,海淀北部新区,2室1厅 ,77.76, 南 北 , 精装 ,11, 2009年 , 板楼,36, 1个月以前发布,5630000.0,"72,403元/平",VR房源 房本满五年 随时看房 
车道沟南里正规两居室，采光好，社区环境棒。,车道沟南里,紫竹桥,2室1厅 ,48.9, 西南 , 精装 ,21, 1992年 , 塔楼,23, 2个月以前发布,4700000.0,"96,115元/平",VR看装修 房本满五年 随时看房 
永达逸家 精装修 地铁口 视野好,永达逸家,田村,1室1厅 ,58.6, 西 , 精装 ,15, 2004年 , 板塔结合,4,7,4260000.0,"72,697元/平",近地铁 VR看装修 房本满两年 
